Name,Image,Category,Location,About,Email,Phone,Website,Instagram,Facebook

Natasha I Gillett Photography,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/profile_fearless_bxf2cy/natasha-i-gillett-photography.jpg",Photography,"Bangkok, TH","I pride myself in creating striking imagery that embraces color and captures your personality and moments as they unfold. My high quality editorial approach to photojournalism reveals a balance of modern yet timeless photography that speaks to the next generation. I am half British half Thai, and reside in Bangkok with my family. I'm available world-wide. Please get in touch with your wedding date and location for more information.",info@natashaigillett.com,+66642475277,www.natashaigillett.com,https://www.instagram.com/natashaigillett,https://facebook.com/natashaigillett
Gina Smith Photography,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/13876687_10154367004076197_2867260202215784947_n_rup861/gina-smith-photography.jpg",Photography,"Phuket, TH","I am a freelance photographer based in Phuket who specializes in creative wedding, bridal, family portraits and couple photography.",info@ginasmithphotography.com,+66945935374,ginasmithphotography.com,https://www.instagram.com/ginasmithphotographyphuket,https://www.facebook.com/ginasmithphotographyphuket
Darla Mina Photography Studio,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/6_sgbaln/darla-mina-photography-studio.jpg",Photography,"Bangkok, TH",,voguefilmsena@gmail.com,+66982678048,,,
Pream- photography,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/561741_3688221245124_2083834030_n_kfazvy/pream-photography.jpg",Photography,"Bangkok, TH",Photography service for both thai and international photographer that would like to keep the memories during the holiday. Full day of   wedding shoot can be discuss.,prempcc@hotmail.com,+66859007015,https://www.flickr.com/photos/skypream/,,
Catherine Mead Photography,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/Catherine-Mead-High-Res_pbgs2n/catherine-mead-photography.jpg",Photography,"Phuket, TH","Destination Wedding Photographer Catherine Mead regularly photographs throughout the globe, particularly in locations including Phuket, Bali, California, Italy, Morocco, France, New York, Greece and more! Her work has been published by Martha Stewart Weddings, Style Me Pretty, Harper's Bazaar, Vogue Wedding Japan, Brides Magazine and many more. She photographs weddings of all sizes from beautiful elopements to Hollywood celebrity weddings and everything in between - contact her to find out more!",catherine@catherinemead.com,+447971491810,catherinemead.com,https://www.instagram.com/catherinemead,https://www.facebook.com/catherinemeadphotography/
Hipster Wedding,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/d-a-logo-rkVPdxavH/hipster-wedding.png",Photography,"Phuket, TH","Home is in South East Asia, a young and creative couple works primarily in Viet Nam, Thailand and Bali, but are ready to travel anywhere in the world to capture your wedding. We believe that each couple and wedding are unique by its own story. We make a plan to spend our time to know them, tailor our service, the plan of the wedding day, love story, their favorite unhealthy food or the weirdest hobby of them. Emotional, creative, detailed and enduring artistic pictures that will never get old a",info@hipsterwedding.asia,+84964608116,www.hipsterwedding.asia/,https://www.instagram.com/hipsterwedding.asia,https://www.facebook.com/vietnamdestinationweddingphotographer/
Aidan Dockery,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/portrait-250x250_enudc4/aidan-dockery.jpg",Photography,"Bangkok, TH",,aidandockery@gmail.com,+66 997805266,http://aidandockery.com/,https://www.instagram.com/abdphoto,https://www.facebook.com/abdphoto
Dimas Frolov,,Photography,"Surat (Surat Thani), TH","I�m Dimas Frolov, professional portrait photographer from Samui, one of the most beautiful islands of Thailand. I put my artistic passion in each shot I make and I will eagerly share my love for photography with you. I find inspiration in exotic landscapes and unmatched air of happiness under warm tropical sun. It�s here, in this paradise, where marvelous photos are born. I will be glad to help you preserve your most important moments here, in Thailand via professional photo-shoot! Koh Samui or ",dimas.frolov@gmail.com,+66618965648,http://dimasfrolov.com,https://www.instagram.com/dimasfrolov,https://www.facebook.com/dimasfrolovphoto/
NARAKORN PHOTOGRAPHY,"https://london.bridestory.com/images/c_fill,dpr_1.0,f_auto,fl_progressive,h_160,pg_1,q_80,w_160/v1/assets/file_yvybgr/narakorn-photography.png",Photography,"Bangkok, TH","Photography & Cinematography service for PreWedding/ Engagement, Wedding day, Destination Wedding",narakorn@narakornplus.com,+66 896959559,www.narakornphotography.com,https://www.instagram.com/narakornphotography,https://www.facebook.com/NARAKORNPHOTOGRAPHY
